,DFO_ID,ISO3,FE,BQFE,CI,QR
443,2728,BGD,263304.6792381848,122912.5303529726,-0.4967526820509859,0.0012142361421185
444,1991,VNM,4148472.204548071,1869487.682849449,-0.436980916079024,0.0460057452326872
445,1991,THA,651966.6240419621,197120.96733374792,-0.2377588861636902,0.2622308164817629
447,1991,KHM,789625.7975612022,178049.44617737952,-0.1678389572058696,0.2450012560767967
448,2773,MOZ,10764.160466890056,2859.6305451800863,-0.0254329531460705,0.4898790385972378
450,2773,MWI,13645.253206663088,4580.026686682142,-0.0818997952810872,0.7235768462748048
453,4016,PHL,198078.6406337201,28433.105283840225,-0.1400553862291927,0.3197851662195857
457,4146,VNM,28548.995579011706,8497.895828028137,-0.1945583855879227,0.439722501609296
464,3843,BGD,836878.187499325,398003.9486520143,-0.4825932823998042,0.0036767165160976
466,4459,BGD,1087747.621272032,483387.00486584095,-0.3584091856274312,0.2481407636150477
483,2940,BGD,500477.33831761975,228487.10947591023,-0.4742575659936929,0.006555248234257
484,2434,PHL,655426.1219089873,83031.72171859987,-0.0158766371304471,0.9639466408587704
485,2555,VNM,2790961.090256789,1454954.1894573052,-0.5144280106510266,0.0219541214370411
486,2555,THA,171836.81686104368,51524.42708053428,-0.1280716476545673,0.6029804451142932
487,2555,KHM,986061.5304102828,269549.0034737309,-0.1667216184302852,0.2959233899682532
490,3125,BGD,175620.59162966386,22945.559231069383,0.0227738774179824,0.7633947615796542
492,3143,NPL,38272.55859433979,359.64470016255973,0.4930497897257824,42.92979521340093
493,3143,BGD,158013.96310071013,77392.05760726682,-0.4342775202397263,0.1061089247112396
500,3723,VNM,109570.68153809964,75551.736736989,-0.6846175338866073,0.0
501,3723,MYS,12999.716695467829,8477.2575386326,-0.6269979070587284,0.009284287772363
502,3723,THA,48339.97704962961,25191.881546979108,-0.5233976423527678,0.0195169371728396
506,2570,BGD,11204427.057579849,3499592.359209757,-0.2373712521259213,0.2746932353651029
508,2748,VNM,432508.6704194066,258995.1956398448,-0.5945446214421377,0.0024950620071849
509,2748,KHM,24065.512654652182,9964.52145070918,-0.4751153346524412,0.0027640995335265
510,3216,PHL,181662.13143508515,36849.26622533456,-0.1622226193494351,0.2508188808055855
513,3094,VNM,152138.01504427838,32554.44880596392,-0.2382601851582729,0.3990858828045953
514,3795,MYS,31956.117248168364,17007.439045141302,-0.4483042945732912,0.1581498864387472
515,3795,THA,34136.07537195291,14200.093815746812,-0.4555125285943232,0.0293274619908454
516,3208,BGD,3349790.7807292845,1059549.243398924,-0.212648079677336,0.3518925571288803
525,2430,ZMB,43795.62702064907,10526.094871357587,-0.0693082273272773,0.7269403970576507
535,3870,TUR,39420.39908155553,12913.596168799211,-0.1380257993501992,0.5722731630445534
538,3073,VNM,489474.398370519,373819.3633084257,-0.7273263826866649,0.0001510036984003
539,3073,THA,24528.249743807013,3796.963063348867,-0.1232374050294876,0.1733737082371466
544,4174,BGD,12491.658182021303,7330.295748506263,-0.5873886251860732,0.0012873632391298
546,2690,BGD,5180885.261653374,2334891.458804419,-0.4561819817766586,0.0124859888360731
548,3995,TCD,79352.5799820247,5327.83762920212,0.015727892630686,2.9838270766021946
552,4602,UGA,17831.908301409036,7369.977713083177,-0.3049395740975713,0.034875739993398
559,3741,TCD,10751.920336675812,1554.0006096743605,-0.1335766975440161,0.423242093920933
564,2345,NGA,33274.60516317673,20533.98513169466,-0.5240268810287718,0.1598591064979055
576,3427,PHL,1331417.7366939182,171340.98305410828,-0.0545299144811182,0.7680851861719741
580,2576,NGA,28868.083723675158,6501.939579119533,-0.1435529436783039,0.9472071162943884
582,2576,BEN,20323.22712905485,1016.8034167209642,-0.0771335392147102,2.0057533037595285
584,2650,UKR,16105.785308604012,2990.897863668997,-0.2445428992478412,0.060052483930155
589,3327,BGD,1624536.4334454513,878273.3964136989,-0.5286525393183514,0.0106329311638575
591,2257,BGD,148947.86204893427,23843.32742894694,-0.0881952898032522,0.2220712959059652
592,3866,BGD,839374.872596148,374591.5167991258,-0.4518791074729416,0.0049975218703028
593,2209,UKR,146656.1874221839,31791.56461629842,-0.125161688082532,0.5837961881035116
594,3897,TUR,29843.75473732403,534.7176806832562,0.4204609666363157,14.698098768942009
596,4288,BGD,2111689.037303638,1148583.3196395894,-0.539685989912976,0.003679606757753
603,3444,PHL,423763.6847592247,50652.41790337961,-0.0587011162610687,0.7352498710160457
604,3263,ECU,47275.70895778401,22323.5156979855,-0.3367494796807159,0.1995460660934166
605,2543,VNM,473757.3576149184,317687.1874681742,-0.6681187788088636,0.0011901791809459
606,2543,THA,150517.50486298348,49506.10197726063,-0.1798845899451632,0.5022900680009559
607,2543,LAO,20356.39211574318,2191.431236745193,0.0725251698163094,1.3495387762933089
608,2543,KHM,290086.7054781583,102194.33224687968,-0.1843830420081297,0.3490260258293313
610,3716,BGD,4569229.028762394,2000811.505788862,-0.4277479592305793,0.0355643771399179
